iter	Passed	Remaining
0	134	13304
1	139	6843
2	141	4567
3	142	3418
4	143	2733
5	147	2304
6	148	1969
7	149	1717
8	150	1520
9	151	1360
10	152	1230
11	152	1120
12	153	1030
13	154	950
14	155	880
15	156	819
16	156	765
17	157	716
18	157	673
19	158	634
20	159	599
21	159	567
22	160	538
23	161	511
24	162	486
25	162	463
26	163	442
27	164	422
28	165	403
29	165	387
30	166	371
31	167	355
32	168	341
33	168	327
34	169	314
35	170	302
36	170	290
37	171	279
38	172	269
39	172	259
40	173	249
41	173	239
42	174	231
43	174	222
44	175	214
45	176	207
46	177	199
47	177	192
48	178	185
49	179	179
50	179	172
51	180	166
52	181	160
53	182	155
54	182	149
55	183	143
56	183	138
57	184	133
58	185	128
59	185	123
60	186	119
61	186	114
62	187	110
63	188	105
64	188	101
65	189	97
66	190	93
67	190	89
68	191	86
69	192	82
70	193	78
71	193	75
72	194	71
73	195	68
74	195	65
75	196	62
76	197	58
77	197	55
78	198	52
79	199	49
80	199	46
81	200	44
82	201	41
83	201	38
84	202	35
85	202	33
86	203	30
87	204	27
88	204	25
89	205	22
90	205	20
91	206	17
92	207	15
93	207	13
94	208	10
95	209	8
96	209	6
97	210	4
98	210	2
99	211	0
